Qualifier,Count,Label,Frequency,,Accumulated Freq
P1227,33122324,astronomical filter'@en,"23,33",,"23,33"
P972,23776643,catalog'@en,"16,75",,"40,08"
P585,10432968,point in time'@en,"7,35",,"47,43"
P642,8966228,of'@en,"6,31",,"53,74"
P459,7930570,determination method'@en,"5,59",,"59,33"
P580,7048511,start time'@en,"4,96",,"64,29"
P703,4317830,found in taxon'@en,"3,04",,"67,33"
P582,3601028,end time'@en,"2,54",,"69,87"
P1545,3597770,series ordinal'@en,"2,53",,"72,4"
P1057,2776317,chromosome'@en,"1,96",TOP-10,"74,36"
P1810,2756260,subject named as'@en,"1,94",,"76,3"
P659,1534961,genomic assembly'@en,"1,08",,"77,38"
P405,1426728,taxon author'@en,1,,"78,38"
P1013,1343035,criterion used'@en,"0,95",,"79,33"
P407,1242876,language of work or name'@en,"0,88",,"80,21"
P195,1226034,collection'@en,"0,86",,"81,07"
P574,1180642,year of taxon publication'@en,"0,83",,"81,9"
P1001,1080138,applies to jurisdiction'@en,"0,76",,"82,66"
P3831,1037722,object has role'@en,"0,73",,"83,39"
P155,905854,follows'@en,"0,64",,"84,03"
P156,904751,followed by'@en,"0,64",,"84,67"
P518,898814,applies to part'@en,"0,63",,"85,3"
P1352,800095,ranking'@en,"0,56",,"85,86"
P1264,789189,valid in period'@en,"0,56",,"86,42"
P1351,786270,number of points/goals/set scored'@en,"0,55",,"86,97"
P6552,747772,Twitter user numeric ID'@en,"0,53",,"87,5"
P1350,704118,number of matches played/races/starts'@en,"0,5",,88
P2701,700182,file format'@en,"0,49",,"88,49"
P577,537468,publication date'@en,"0,38",,"88,87"
P2937,520468,parliamentary term'@en,"0,37",,"89,24"
P805,499858,statement is subject of'@en,"0,35",,"89,59"
P512,498770,academic degree'@en,"0,35",,"89,94"
P304,441380,page(s)'@en,"0,31",TOP-K,"90,25"
P1932,436797,object stated as'@en,"0,31",,"90,56"
P1539,393943,female population'@en,"0,28",,"90,84"
P1540,385840,male population'@en,"0,27",,"91,11"
P768,374255,electoral district'@en,"0,26",,"91,37"
P2868,351792,subject has role'@en,"0,25",,"91,62"
P3744,308144,number of subscribers'@en,"0,22",,"91,84"
P1326,268855,latest date'@en,"0,19",,"92,03"
P217,248932,inventory number'@en,"0,18",,"92,21"
P1480,226470,sourcing circumstances'@en,"0,16",,"92,37"
P1319,224040,earliest date'@en,"0,16",,"92,53"
P1365,206733,replaces'@en,"0,15",,"92,68"
P1114,197262,quantity'@en,"0,14",,"92,82"
P437,193527,distribution format'@en,"0,14",,"92,96"
P2096,188896,media legend'@en,"0,13",,"93,09"
P275,188311,copyright license'@en,"0,13",,"93,22"
P478,187030,volume'@en,"0,13",,"93,35"
P1366,184380,replaced by'@en,"0,13",TOP-50,"93,48"
P2699,183416,URL'@en,"0,13",,"93,61"
P4390,175985,mapping relation type'@en,"0,12",,"93,73"
P1111,170682,votes received'@en,"0,12",,"93,85"
P21,167777,sex or gender'@en,"0,12",,"93,97"
P4100,157283,parliamentary group'@en,"0,11",,"94,08"
P2715,156684,elected in'@en,"0,11",,"94,19"
P447,156118,review score by'@en,"0,11",,"94,3"
P131,154520,located in the administrative territorial entity'@en,"0,11",,"94,41"
P613,146156,OS grid reference'@en,"0,1",,"94,51"
P5051,145279,towards'@en,"0,1",,"94,61"
P1262,145266,RAÄ number'@en,"0,1",,"94,71"
P1552,143666,has quality'@en,"0,1",,"94,81"
P1534,139829,end cause'@en,"0,1",,"94,91"
P400,137793,platform'@en,"0,1",,"95,01"
P106,136486,occupation'@en,"0,1",,"95,11"
P3740,133442,number of works'@en,"0,09",,"95,2"
P2911,133029,time gap'@en,"0,09",,"95,29"
P2249,130006,RefSeq genome ID'@en,"0,09",,"95,38"
P3680,129111,statement supported by'@en,"0,09",,"95,47"
P625,124625,coordinate location'@en,"0,09",,"95,56"
P276,121368,location'@en,"0,09",,"95,65"
