Qualifier,Count,Label,Frequency,,Accumulated Freq
P407,1242876,language of work or name'@en,"41,17",,"41,17"
P577,537468,publication date'@en,"17,8",,"58,97"
P304,441380,page(s)'@en,"14,62",,"73,59"
P478,187030,volume'@en,"6,2",,"79,79"
P291,105546,place of publication'@en,"3,5",,"83,29"
P2093,98772,author name string'@en,"3,27",,"86,56"
P1476,92759,title'@en,"3,07",,"89,63"
P813,68490,retrieved'@en,"2,27",,"91,9"
P1343,50777,described by source'@en,"1,68",,"93,58"
P958,45364,"section, verse, paragraph, or clause'@en","1,5",TOP-10,"95,08"
P123,30243,publisher'@en,1,,"96,08"
P433,29598,issue'@en,"0,98",,"97,06"
P1065,22240,archive URL'@en,"0,74",,"97,8"
P50,17093,author'@en,"0,57",,"98,37"
P2960,8765,archive date'@en,"0,29",,"98,66"
P1433,7019,published in'@en,"0,23",,"98,89"
P854,5626,reference URL'@en,"0,19",,"99,08"
P179,4938,part of the series'@en,"0,16",,"99,24"
P1683,4919,quotation'@en,"0,16",,"99,4"
P792,3964,chapter'@en,"0,13",,"99,53"
P3903,3633,column'@en,"0,12",,"99,65"
P1680,3408,subtitle'@en,"0,11",,"99,76"
P18,2773,image'@en,"0,09",,"99,85"
P887,2068,based on heuristic'@en,"0,07",,"99,92"
P5017,897,last update'@en,"0,03",,"99,95"
P248,743,stated in'@en,"0,02",,"99,97"
P7416,172,folio(s)'@en,"0,01",,"99,98"
P485,121,archives at'@en,0,,"99,98"
P143,70,imported from Wikimedia project'@en,0,,"99,98"
P7793,64,filename in archive'@en,0,,"99,98"
P7421,55,line(s)'@en,0,,"99,98"
P3865,24,type of reference'@en,0,,"99,98"
P6333,18,title of broader work'@en,0,,"99,98"
P7776,12,SSNE person ID'@en,0,,"99,98"
P4656,10,Wikimedia import URL'@en,0,,"99,98"
P872,10,printed by'@en,0,,"99,98"
P9600,7,oral history at'@en,0,,"99,98"
P6184,5,reference has role'@en,0,,"99,98"
P10253,4,reference image'@en,0,,"99,98"
P6655,4,stroke order'@en,0,,"99,98"
P10093,3,image with color chart'@en,0,,"99,98"
P5683,3,iNaturalist observation ID'@en,0,,"99,98"
P7930,2,Wikimedia community discussion URL'@en,0,,"99,98"
P9660,2,not found in'@en,0,,"99,98"
P5564,1,registration district'@en,0,,"99,98"
,,,,,
,3018976,,,,
,"0,02126282836",,,,
