Contagem de Claims por predicado que violaram a constraint de required qualifier sugerida no conjunto completo ,,,,,
Predicate,Label,Count,Frequency,,Accumulated Freq
P856,official website,1165471,"33,5",,"33,5"
P1082,population,717770,"20,63",,"54,13"
P39,position held,606700,"17,44",,"71,57"
P973,described at URL,536256,"15,41",,"86,98"
P1540,male population,103110,"2,96",,"89,94"
P1539,female population,102783,"2,95",TOP-K,"92,89"
P2002,Twitter username,40424,"1,16",,"94,05"
P2567,amended by,37717,"1,08",,"95,13"
P3148,repeals,28639,"0,82",,"95,95"
P1618,sport number,24078,"0,69",TOP-10,"96,64"
P1411,nominated for,20697,"0,59",,"97,23"
P1981,FSK film rating,13329,"0,38",,"97,61"
P1248,KulturNav-ID,8662,"0,25",,"97,86"
P1399,convicted of,7932,"0,23",,"98,09"
P4080,number of houses,6909,"0,2",,"98,29"
P2629,BBFC rating,6135,"0,18",,"98,47"
P4765,Commons compatible image available at URL,5202,"0,15",,"98,62"
P3180,Visual Novel Database ID,4415,"0,13",,"98,75"
P1630,formatter URL,4396,"0,13",,"98,88"
P3025,open days,4333,"0,12",,99
P683,ChEBI ID,3561,"0,1",,"99,1"
P771,Swiss municipality code,3356,"0,1",,"99,2"
P1560,given name version for other gender,3199,"0,09",,"99,29"
P1581,official blog,3110,"0,09",,"99,38"
P1098,"number of speakers, writers, or signers",3109,"0,09",,"99,47"
P6658,RCQ classification,2143,"0,06",,"99,53"
P85,anthem,1394,"0,04",,"99,57"
P8785,AniDB tag ID,1305,"0,04",,"99,61"
P443,pronunciation audio,1303,"0,04",,"99,65"
P4073,Fandom wiki ID,1213,"0,03",,"99,68"
P2684,Kijkwijzer rating,1207,"0,03",,"99,71"
P10039,Musées Nationaux Recuperation ID,972,"0,03",,"99,74"
P553,website account on,785,"0,02",,"99,76"
P8419,Archive of Our Own tag,742,"0,02",,"99,78"
P10225,official shop URL,686,"0,02",,"99,8"
P7014,terms of service URL,649,"0,02",,"99,82"
P989,spoken text audio,572,"0,02",,"99,84"
P5201,IMDA rating,552,"0,02",,"99,86"
P3156,Australian Classification,504,"0,01",,"99,87"
P5885,Microsoft Store product ID,449,"0,01",,"99,88"
P8214,curriculum vitae,432,"0,01",,"99,89"
P5800,narrative role,391,"0,01",,"99,9"
P7101,privacy policy URL,346,"0,01",,"99,91"
P3295,code,293,"0,01",,"99,92"
P1661,Alexa rank,224,"0,01",,"99,93"
P2568,repealed by,171,0,,"99,93"
P4876,number of records,170,0,,"99,93"
P8326,Australian Classification ID,169,0,,"99,93"
P9808,arheologi.ro ID,150,0,,"99,93"
P2149,clock frequency,141,0,TOP-50,"99,93"
P9138,service status information URL,132,0,,"99,93"
P6269,API endpoint,127,0,,"99,93"
P6720,interwiki prefix at Wikimedia,115,0,,"99,93"
P2661,target interest rate,106,0,,"99,93"
P210,party chief representative,67,0,,"99,93"
P9214,FAQ URL,55,0,,"99,93"
P3744,number of subscribers,45,0,,"99,93"
P5794,Internet Game Database game ID,41,0,,"99,93"
P1979,Righteous Among The Nations ID,29,0,,"99,93"
P8248,Colon Classification,5,0,,"99,93"
P6753,number of polling stations,1,0,,"99,93"
,,3478979,,,
,,,,,
,,,,,
Arquivio,claims-predicate-suggested_constraints-required_qualifier_violated,,,,
