Predicate,Count,Label,Frequency,,Accumulated Freq
P31,59717980,instance of'@en,"10,68",,"10,68"
P1215,33122376,apparent magnitude'@en,"5,92",,"16,6"
P528,28738709,catalog code'@en,"5,14",,"21,74"
P17,14996553,country'@en,"2,68",,"24,42"
P131,11371144,located in the administrative territorial entity'@en,"2,03",,"26,45"
P106,9608349,occupation'@en,"1,72",,"28,17"
P625,9267000,coordinate location'@en,"1,66",,"29,83"
P2215,8207685,proper motion'@en,"1,47",,"31,3"
P3083,8150658,SIMBAD ID'@en,"1,46",,"32,76"
P6257,8091255,right ascension'@en,"1,45",TOP-10,"34,21"
P6258,8091122,declination'@en,"1,45",,"35,66"
P21,8083032,sex or gender'@en,"1,45",,"37,11"
P6259,8076533,epoch'@en,"1,44",,"38,55"
P2671,7385318,Google Knowledge Graph ID'@en,"1,32",,"39,87"
P59,7371268,constellation'@en,"1,32",,"41,19"
P735,6824771,given name'@en,"1,22",,"42,41"
P569,5793113,date of birth'@en,"1,04",,"43,45"
P27,4494645,country of citizenship'@en,"0,8",,"44,25"
P18,4423081,image'@en,"0,79",,"45,04"
P646,4421603,Freebase ID'@en,"0,79",,"45,83"
P361,4397806,part of'@en,"0,79",,"46,62"
P684,4320909,ortholog'@en,"0,77",,"47,39"
P1476,4026695,title'@en,"0,72",,"48,11"
P734,4010661,family name'@en,"0,72",,"48,83"
P2216,3784378,radial velocity'@en,"0,68",,"49,51"
P1566,3743524,GeoNames ID'@en,"0,67",,"50,18"
P2214,3674757,parallax'@en,"0,66",,"50,84"
P171,3613473,parent taxon'@en,"0,65",,"51,49"
P225,3603018,taxon name'@en,"0,64",,"52,13"
P105,3599875,taxon rank'@en,"0,64",,"52,77"
P373,3534429,Commons category'@en,"0,63",,"53,4"
P279,3296313,subclass of'@en,"0,59",,"53,99"
P19,3064487,place of birth'@en,"0,55",,"54,54"
P2583,3027938,distance from Earth'@en,"0,54",,"55,08"
P214,3004213,VIAF ID'@en,"0,54",,"55,62"
P570,2926895,date of death'@en,"0,52",,"56,14"
P1087,2887921,Elo rating'@en,"0,52",,"56,66"
P703,2847102,found in taxon'@en,"0,51",,"57,17"
P407,2742164,language of work or name'@en,"0,49",,"57,66"
P276,2613926,location'@en,"0,47",,"58,13"
P846,2569259,GBIF taxon ID'@en,"0,46",,"58,59"
P571,2538835,inception'@en,"0,45",,"59,04"
P577,2536217,publication date'@en,"0,45",,"59,49"
P1412,2401376,"languages spoken, written or signed'@en","0,43",,"59,92"
P1082,2362056,population'@en,"0,42",,"60,34"
P971,2319814,category combines topics'@en,"0,41",,"60,75"
P69,2285190,educated at'@en,"0,41",,"61,16"
P1435,2104249,heritage designation'@en,"0,38",,"61,54"
P421,2016829,located in time zone'@en,"0,36",,"61,9"
P195,1973867,collection'@en,"0,35",TOP-50,"62,25"
P527,1947505,has part or parts'@en,"0,35",,"62,6"
P641,1910674,sport'@en,"0,34",,"62,94"
P281,1908017,postal code'@en,"0,34",,"63,28"
P7859,1889426,WorldCat Identities ID'@en,"0,34",,"63,62"
P496,1759432,ORCID iD'@en,"0,31",,"63,93"
P50,1635488,author'@en,"0,29",,"64,22"
P108,1635050,employer'@en,"0,29",,"64,51"
P856,1609856,official website'@en,"0,29",,"64,8"
P1448,1590456,official name'@en,"0,28",,"65,08"
P6216,1580247,copyright status'@en,"0,28",,"65,36"
P40,1563655,child'@en,"0,28",,"65,64"
P54,1549413,member of sports team'@en,"0,28",,"65,92"
P136,1508670,genre'@en,"0,27",,"66,19"
P39,1485766,position held'@en,"0,27",,"66,46"
P2326,1468676,GNS Unique Feature ID'@en,"0,26",,"66,72"
P213,1431173,ISNI'@en,"0,26",,"66,98"
P161,1429924,cast member'@en,"0,26",,"67,24"
P244,1369085,Library of Congress authority ID'@en,"0,24",,"67,48"
P166,1365099,award received'@en,"0,24",,"67,72"
P5055,1361849,IRMNG ID'@en,"0,24",,"67,96"
P2044,1351212,elevation above sea level'@en,"0,24",,"68,2"
P186,1333739,made from material'@en,"0,24",,"68,44"
P495,1331505,country of origin'@en,"0,24",,"68,68"
P227,1320608,GND ID'@en,"0,24",,"68,92"
P235,1307589,InChIKey'@en,"0,23",,"69,15"
P234,1300184,InChI'@en,"0,23",,"69,38"
P6375,1276158,street address'@en,"0,23",,"69,61"
P1433,1229643,published in'@en,"0,22",,"69,83"
P20,1223012,place of death'@en,"0,22",,"70,05"
P680,1210127,molecular function'@en,"0,22",,"70,27"
P682,1194153,biological process'@en,"0,21",,"70,48"
P217,1161024,inventory number'@en,"0,21",,"70,69"
P921,1158408,main subject'@en,"0,21",,"70,9"
P953,1142434,full work available at URL'@en,"0,2",,"71,1"
P155,1133500,follows'@en,"0,2",,"71,3"
P156,1125386,followed by'@en,"0,2",,"71,5"
P830,1095947,Encyclopedia of Life ID'@en,"0,2",,"71,7"
P645,1060292,genomic end'@en,"0,19",,"71,89"
P644,1060289,genomic start'@en,"0,19",,"72,08"
P150,1046411,contains administrative territorial entity'@en,"0,19",,"72,27"
P274,1045678,chemical formula'@en,"0,19",,"72,46"
P2548,1045058,strand orientation'@en,"0,19",,"72,65"
P1090,989410,redshift'@en,"0,18",,"72,83"
P702,976833,encoded by'@en,"0,17",,73
P688,973792,encodes'@en,"0,17",,"73,17"
P662,961866,PubChem CID'@en,"0,17",,"73,34"
P22,958162,father'@en,"0,17",,"73,51"
P1001,947743,applies to jurisdiction'@en,"0,17",,"73,68"
P231,941458,CAS Registry Number'@en,"0,17",,"73,85"
P7715,913426,World Flora Online ID'@en,"0,16",,"74,01"
P681,899719,cell component'@en,"0,16",,"74,17"
P961,899424,IPNI plant ID'@en,"0,16",,"74,33"
P2048,889872,height'@en,"0,16",,"74,49"
P3382,884216,GeneDB ID'@en,"0,16",,"74,65"
P5572,883176,expressed in'@en,"0,16",,"74,81"
P233,881271,canonical SMILES'@en,"0,16",,"74,97"
P170,871782,creator'@en,"0,16",,"75,13"
P585,867493,point in time'@en,"0,16",,"75,29"
P1343,857017,described by source'@en,"0,15",,"75,44"
P3117,850626,DSSTox substance ID'@en,"0,15",,"75,59"
P8494,848721,DSSTOX compound identifier'@en,"0,15",,"75,74"
P1705,838882,native label'@en,"0,15",,"75,89"
P4224,831015,category contains'@en,"0,15",,"76,04"
P3151,829222,iNaturalist taxon ID'@en,"0,15",,"76,19"
P345,816819,IMDb ID'@en,"0,15",,"76,34"
P1889,811803,different from'@en,"0,15",,"76,49"
P7959,789732,historic county'@en,"0,14",,"76,63"
P351,787896,Entrez Gene ID'@en,"0,14",,"76,77"
P215,770031,spectral class'@en,"0,14",,"76,91"
P637,766058,RefSeq protein ID'@en,"0,14",,"77,05"
P179,750841,part of the series'@en,"0,13",,"77,18"
P442,744442,China administrative division code'@en,"0,13",,"77,31"
P26,732347,spouse'@en,"0,13",,"77,44"
P973,728460,described at URL'@en,"0,13",,"77,57"
P4638,718606,The Peerage person ID'@en,"0,13",,"77,7"
P1344,694612,participant in'@en,"0,12",,"77,82"
P301,690384,category\'s main topic'@en,"0,12",,"77,94"
P850,689038,WoRMS-ID for taxa'@en,"0,12",,"78,06"
P910,688314,topic\'s main category'@en,"0,12",,"78,18"
P2046,684428,area'@en,"0,12",,"78,3"
P590,674691,GNIS ID'@en,"0,12",,"78,42"
P2049,669364,width'@en,"0,12",,"78,54"
P691,669360,NKCR AUT ID'@en,"0,12",,"78,66"
P639,656741,RefSeq RNA ID'@en,"0,12",,"78,78"
P580,650639,start time'@en,"0,12",,"78,9"
P1225,645097,U.S. National Archives Identifier'@en,"0,12",,"79,02"
P6879,639377,effective temperature'@en,"0,11",,"79,13"
P6224,628077,level of description'@en,"0,11",,"79,24"
P815,627242,ITIS TSN'@en,"0,11",,"79,35"
P282,626966,writing system'@en,"0,11",,"79,46"
P7902,625909,Deutsche Biographie (GND) ID'@en,"0,11",,"79,57"
P352,621833,UniProt protein ID'@en,"0,11",,"79,68"
P5037,620964,Plants of the World online ID'@en,"0,11",,"79,79"
P5008,620518,on focus list of Wikimedia project'@en,"0,11",,"79,9"
P180,619426,depicts'@en,"0,11",,"80,01"
P1057,618719,chromosome'@en,"0,11",,"80,12"
P47,606626,shares border with'@en,"0,11",,"80,23"
P25,603918,mother'@en,"0,11",,"80,34"
P268,597160,Bibliothèque nationale de France ID'@en,"0,11",,"80,45"
P960,594740,Tropicos ID'@en,"0,11",,"80,56"
P1559,593970,name in native language'@en,"0,11",,"80,67"
P1843,585441,taxon common name'@en,"0,1",,"80,77"
P685,584364,NCBI taxonomy ID'@en,"0,1",,"80,87"
P6766,584101,Who\'s on First ID'@en,"0,1",,"80,97"
P582,564031,end time'@en,"0,1",,"81,07"
P269,563619,IdRef ID'@en,"0,1",,"81,17"
P7015,558681,surface gravity'@en,"0,1",,"81,27"
P1031,557572,legal citation of this text'@en,"0,1",,"81,37"
P2888,550695,exact match'@en,"0,1",,"81,47"
P137,541793,operator'@en,"0,1",,"81,57"
P1207,536372,NUKAT ID'@en,"0,1",,"81,67"
P126,529281,maintained by'@en,"0,09",,"81,76"
P1153,525650,Scopus author ID'@en,"0,09",,"81,85"
P9157,524530,Open Tree of Life ID'@en,"0,09",,"81,94"
P1006,521696,Nationale Thesaurus voor Auteurs ID'@en,"0,09",,"82,03"
P2393,510696,NCBI locus tag'@en,"0,09",,"82,12"
P175,504429,performer'@en,"0,09",,"82,21"
P102,502634,member of political party'@en,"0,09",,"82,3"
P1436,481891,collection or exhibition size'@en,"0,09",,"82,39"
P8687,473862,social media followers'@en,"0,08",,"82,47"
P704,470907,Ensembl transcript ID'@en,"0,08",,"82,55"
P127,469612,owned by'@en,"0,08",,"82,63"
P793,460703,significant event'@en,"0,08",,"82,71"
P140,450242,religion or worldview'@en,"0,08",,"82,79"
P463,444593,member of'@en,"0,08",,"82,87"
P159,437931,headquarters location'@en,"0,08",,"82,95"
P2163,437359,FAST ID'@en,"0,08",,"83,03"
P3368,433156,Prabook ID'@en,"0,08",,"83,11"
P710,432740,participant'@en,"0,08",,"83,19"
P1132,425505,number of participants'@en,"0,08",,"83,27"
P497,422562,CBDB ID'@en,"0,08",,"83,35"
P7261,415634,use restriction status'@en,"0,07",,"83,42"
P613,414846,OS grid reference'@en,"0,07",,"83,49"
P3373,411175,sibling'@en,"0,07",,"83,56"
P7228,403792,access restriction status'@en,"0,07",,"83,63"
P413,403397,position played on team / speciality'@en,"0,07",,"83,7"
P1216,400382,National Heritage List for England number'@en,"0,07",,"83,77"
P2093,398874,author name string'@en,"0,07",,"83,84"
P1070,397249,PlantList-ID'@en,"0,07",,"83,91"
P138,375152,named after'@en,"0,07",,"83,98"
P9644,375042,Geneanet family name ID'@en,"0,07",,"84,05"
P962,372129,MycoBank taxon name ID'@en,"0,07",,"84,12"
P7763,364458,copyright status as a creator'@en,"0,07",,"84,19"
P1391,359819,Index Fungorum ID'@en,"0,06",,"84,25"
P2017,359811,isomeric SMILES'@en,"0,06",,"84,31"
P3098,356566,ClinicalTrials.gov ID'@en,"0,06",,"84,37"
P2868,355223,subject has role'@en,"0,06",,"84,43"
P364,352622,original language of film or TV show'@en,"0,06",,"84,49"
P2600,352485,Geni.com profile ID'@en,"0,06",,"84,55"
P8363,349390,study type'@en,"0,06",,"84,61"
P7937,347324,form of creative work'@en,"0,06",,"84,67"
P7293,346798,PLWABN ID'@en,"0,06",,"84,73"
P838,344310,BioLib taxon ID'@en,"0,06",,"84,79"
P2067,342930,mass'@en,"0,06",,"84,85"
P937,341839,work location'@en,"0,06",,"84,91"
P264,341546,record label'@en,"0,06",,"84,97"
P57,333611,director'@en,"0,06",,"85,03"
P2002,331438,Twitter username'@en,"0,06",,"85,09"
P881,330053,type of variable star'@en,"0,06",,"85,15"
P128,326035,regulates (molecular biology)'@en,"0,06",,"85,21"
P2899,320823,minimum age'@en,"0,06",,"85,27"
P6379,320821,has works in the collection'@en,"0,06",,"85,33"
P648,316856,Open Library ID'@en,"0,06",,"85,39"
P4575,304369,HTML entity'@en,"0,05",,"85,44"
P184,303776,doctoral advisor'@en,"0,05",,"85,49"
P291,298575,place of publication'@en,"0,05",,"85,54"
P185,298171,doctoral student'@en,"0,05",,"85,59"
P2031,294038,work period (start)'@en,"0,05",,"85,64"
P551,291467,residence'@en,"0,05",,"85,69"
P123,290842,publisher'@en,"0,05",,"85,74"
P103,288996,native language'@en,"0,05",,"85,79"
P460,287695,said to be the same as'@en,"0,05",,"85,84"
P1871,274827,CERL Thesaurus ID'@en,"0,05",,"85,89"
P348,271937,software version identifier'@en,"0,05",,"85,94"
P2817,270764,appears in the heritage monument list'@en,"0,05",,"85,99"
P6366,267791,Microsoft Academic ID'@en,"0,05",,"86,04"
P6153,266858,research site'@en,"0,05",,"86,09"
P2043,263736,length'@en,"0,05",,"86,14"
P549,261348,Mathematics Genealogy Project ID'@en,"0,05",,"86,19"
P1053,260409,ResearcherID'@en,"0,05",,"86,24"
P434,258524,MusicBrainz artist ID'@en,"0,05",,"86,29"
P101,256974,field of work'@en,"0,05",,"86,34"
