Predicate,Count,Label,Frequency,,Accumulated Freq
P569,34068,date of birth'@en,"47,16",,"47,16"
P570,17140,date of death'@en,"23,73",,"70,89"
P131,15474,located in the administrative territorial entity'@en,"21,42",TOP-K,"92,31"
P625,471,coordinate location'@en,"0,65",,"92,96"
P19,371,place of birth'@en,"0,51",,"93,47"
P571,307,inception'@en,"0,43",,"93,9"
P735,298,given name'@en,"0,41",,"94,31"
P856,297,official website'@en,"0,41",,"94,72"
P20,262,place of death'@en,"0,36",,"95,08"
P31,244,instance of'@en,"0,34",TOP-10,"95,42"
P1448,212,official name'@en,"0,29",,"95,71"
P14,197,traffic sign'@en,"0,27",,"95,98"
P734,131,family name'@en,"0,18",,"96,16"
P276,112,location'@en,"0,16",,"96,32"
P18,97,image'@en,"0,13",,"96,45"
P2146,91,orbital period'@en,"0,13",,"96,58"
P1476,88,title'@en,"0,12",,"96,7"
P2120,85,radius'@en,"0,12",,"96,82"
P8328,71,Democracy Index'@en,"0,1",,"96,92"
P1082,67,population'@en,"0,09",,"97,01"
P154,58,logo image'@en,"0,08",,"97,09"
P2561,53,name'@en,"0,07",,"97,16"
P159,48,headquarters location'@en,"0,07",,"97,23"
P1813,46,short name'@en,"0,06",,"97,29"
P577,43,publication date'@en,"0,06",,"97,35"
P138,43,named after'@en,"0,06",,"97,41"
P1308,41,officeholder'@en,"0,06",,"97,47"
P140,40,religion or worldview'@en,"0,06",,"97,53"
P3153,39,Crossref funder ID'@en,"0,05",,"97,58"
P26,39,spouse'@en,"0,05",,"97,63"
P749,37,parent organization'@en,"0,05",,"97,68"
P2124,37,member count'@en,"0,05",,"97,73"
P115,34,home venue'@en,"0,05",,"97,78"
P488,31,chairperson'@en,"0,04",,"97,82"
P119,31,place of burial'@en,"0,04",,"97,86"
P348,30,software version identifier'@en,"0,04",,"97,9"
P127,29,owned by'@en,"0,04",,"97,94"
P3872,28,patronage'@en,"0,04",,"97,98"
P6216,27,copyright status'@en,"0,04",,"98,02"
P2051,27,M sin i'@en,"0,04",,"98,06"
P2044,27,elevation above sea level'@en,"0,04",,"98,1"
P2046,26,area'@en,"0,04",,"98,14"
P1705,26,native label'@en,"0,04",,"98,18"
P1128,25,employees'@en,"0,03",,"98,21"
P17,24,country'@en,"0,03",,"98,24"
P106,24,occupation'@en,"0,03",,"98,27"
