Qualifier,Label,Count,Frequency,,Accumulated Freq,,Time related,"61,72"
P585,point in time'@en,34734,"36,74",,"36,74",,,
P3415,start period'@en,17555,"18,57",,"55,31",,,
P560,direction'@en,13547,"14,33",,"69,64",,,
P1111,votes received'@en,6622,7,,"76,64",,,
P580,start time'@en,6055,"6,41",,"83,05",,,
P1039,kinship to subject'@en,2166,"2,29",,"85,34",,,
P10627,web interface software'@en,1956,"2,07",,"87,41",,,
P195,collection'@en,1696,"1,79",,"89,2",,,
P3831,object has role'@en,1002,"1,06",,"90,26",,,
P459,determination method'@en,957,"1,01",,"91,27",,,
P282,writing system'@en,886,"0,94",,"92,21",,,
P400,platform'@en,693,"0,73",,"92,94",,,
P2378,issued by'@en,593,"0,63",,"93,57",,,
P642,of'@en,592,"0,63",,"94,2",,,
P805,statement is subject of'@en,591,"0,63",,"94,83",,,
P249,ticker symbol'@en,483,"0,51",,"95,34",,,
P1545,series ordinal'@en,472,"0,5",,"95,84",,,
P8423,version control system'@en,448,"0,47",,"96,31",,,
P1352,ranking'@en,271,"0,29",,"96,6",,,
P2352,applies to taxon'@en,267,"0,28",,"96,88",,,
P186,made from material'@en,265,"0,28",,"97,16",,,
P1476,title'@en,263,"0,28",,"97,44",,,
P2047,duration'@en,248,"0,26",,"97,7",,,
P2699,URL'@en,246,"0,26",,"97,96",,,
P2093,author name string'@en,245,"0,26",,"98,22",,,
P2049,width'@en,190,"0,2",,"98,42",,,
P447,review score by'@en,184,"0,19",,"98,61",,,
P137,operator'@en,168,"0,18",,"98,79",,,
P7367,content descriptor'@en,138,"0,15",,"98,94",,,
P2676,rating certificate ID'@en,114,"0,12",,"99,06",,,
P2043,length'@en,111,"0,12",,"99,18",,,
P2076,temperature'@en,88,"0,09",,"99,27",,,
P2077,under pressure'@en,71,"0,08",,"99,35",,,
P8428,interactive elements'@en,64,"0,07",,"99,42",,,
P1016,asteroid taxonomy'@en,62,"0,07",,"99,49",,,
P2868,subject has role'@en,62,"0,07",,"99,56",,,
P515,phase of matter'@en,55,"0,06",,"99,62",,,
P10602,applicant'@en,54,"0,06",,"99,68",,,
P636,route of administration'@en,53,"0,06",,"99,74",,,
P3294,encoding'@en,49,"0,05",,"99,79",,,
P156,followed by'@en,20,"0,02",,"99,81",,,
P1683,quotation'@en,20,"0,02",,"99,83",,,
P554,website username'@en,19,"0,02",,"99,85",,,
P155,follows'@en,18,"0,02",,"99,87",,,
P817,decay mode'@en,18,"0,02",,"99,89",,,
P407,language of work or name'@en,17,"0,02",,"99,91",,,
P1013,criterion used'@en,16,"0,02",,"99,93",,,
P4970,alternative name'@en,15,"0,02",,"99,95",,,
P50,author'@en,15,"0,02",,"99,97",,,
P17,country'@en,10,"0,01",,"99,98",,,
P39,position held'@en,8,"0,01",,"99,99",,,
P2701,file format'@en,6,"0,01",,100,,,
P9758,symbol represents'@en,6,"0,01",,"100,01",,,
P2808,wavelength'@en,5,"0,01",,"100,02",,,
P518,applies to part'@en,5,"0,01",,"100,03",,,
P1227,astronomical filter'@en,4,0,,"100,03",,,
P194,legislative body'@en,4,0,,"100,03",,,
P2210,relative to'@en,4,0,,"100,03",,,
P972,catalog'@en,4,0,,"100,03",,,
P1001,applies to jurisdiction'@en,2,0,,"100,03",,,
P180,depicts'@en,1,0,,"100,03",,,
P437,distribution format'@en,1,0,,"100,03",,,
,,94534,,,,,,
,,,,,,,,
,,,,,,,Source File,filtered-qualifier-mandatory_constraints-required_qualifier_violated
