Predicate,Count,Label,Frequency,,Accumulated Freq,,,,,,,,,
P1215,32818000,apparent magnitude'@en,36,,36,,,,,,,,33122376,"99,08"
P528,22169427,catalog code'@en,"24,32",,"60,32",,,,,,,,28738709,"77,14"
P2215,8207274,proper motion'@en,9,,"69,32",,,,,,,,8207685,"99,99"
P684,4303949,ortholog'@en,"4,72",,"74,04",,,,,,,,4320909,"99,61"
P1087,2866017,Elo rating'@en,"3,14",,"77,18",,,,,,,,2887921,"99,24"
P1082,2010622,population'@en,"2,21",,"79,39",,,,,,,,2362056,"85,12"
P680,1058852,molecular function'@en,"1,16",,"80,55",,,,,,,,1210127,"87,5"
P682,1027254,biological process'@en,"1,13",,"81,68",,,,,,,,1194153,"86,02"
P54,964799,member of sports team'@en,"1,06",,"82,74",,,,,,,,1549413,"62,27"
P5572,864211,expressed in'@en,"0,95",TOP-10,"83,69",,,,,,,,883176,"97,85"
P681,769641,cell component'@en,"0,84",,"84,53",,,,,,,,899719,"85,54"
P421,761055,located in time zone'@en,"0,83",,"85,36",,,,,,,,2016829,"37,74"
P39,728352,position held'@en,"0,8",,"86,16",,,,,,,,1485766,"49,02"
P31,680822,instance of'@en,"0,75",,"86,91",,,,,,,,59717980,"1,14"
P953,639488,full work available at URL'@en,"0,7",,"87,61",,,,,,,,1142434,"55,98"
P50,530318,author'@en,"0,58",,"88,19",,,,,,,,1635488,"32,43"
P131,524419,located in the administrative territorial entity'@en,"0,58",,"88,77",,,,,,,,11371144,"4,61"
P108,440496,employer'@en,"0,48",,"89,25",,,,,,,,1635050,"26,94"
P8687,423467,social media followers'@en,"0,46",,"89,71",,,,,,,,473862,"89,37"
P527,404494,has part or parts'@en,"0,44",,"90,15",,,,,,,,1947505,"20,77"
P186,326248,made from material'@en,"0,36",,,,,,,,,,1333739,"24,46"
P735,323588,given name'@en,"0,36",,,,,,,,,,6824771,"4,74"
P69,321627,educated at'@en,"0,35",,,,,,,,,,2285190,"14,07"
P710,314426,participant'@en,"0,34",,,,,,,,,,432740,"72,66"
P1344,294546,participant in'@en,"0,32",,,,,,,,,,694612,"42,4"
P166,293996,award received'@en,"0,32",,,,,,,,,,1365099,"21,54"
P1343,256285,described by source'@en,"0,28",,,,,,,,,,857017,"29,9"
P348,253011,software version identifier'@en,"0,28",,,,,,,,,,271937,"93,04"
P793,216964,significant event'@en,"0,24",,,,,,,,,,460703,"47,09"
P161,161931,cast member'@en,"0,18",,,,,,,,,,1429924,"11,32"
P197,157078,adjacent station'@en,"0,17",,,,,,,,,,214327,"73,29"
P27,151328,country of citizenship'@en,"0,17",,,,,,,,,,4494645,"3,37"
P734,148783,family name'@en,"0,16",,,,,,,,,,4010661,"3,71"
P3872,146886,patronage'@en,"0,16",,,,,,,,,,147920,"99,3"
P1346,137702,winner'@en,"0,15",,,,,,,,,,248636,"55,38"
P2093,132724,author name string'@en,"0,15",,,,,,,,,,398874,"33,27"
P4080,131091,number of houses'@en,"0,14",,,,,,,,,,148380,"88,35"
P921,128287,main subject'@en,"0,14",,,,,,,,,,1158408,"11,07"
P1603,122981,number of cases'@en,"0,13",,,,,,,,,,123727,"99,4"
P106,113544,occupation'@en,"0,12",,,,,,,,,,9608349,"1,18"
P1540,109276,male population'@en,"0,12",,,,,,,,,,247205,"44,2"
P1539,109238,female population'@en,"0,12",,,,,,,,,,247166,"44,2"
P1538,108035,number of households'@en,"0,12",,,,,,,,,,247745,"43,61"
P180,106165,depicts'@en,"0,12",,,,,,,,,,619426,"17,14"
P1120,103393,number of deaths'@en,"0,11",,,,,,,,,,115701,"89,36"
P2046,94644,area'@en,"0,1",,,,,,,,,,684428,"13,83"
P1923,89303,participating team'@en,"0,1",,,,,,,,,,161213,"55,39"
P26,86561,spouse'@en,"0,09",,,,,,,,,,732347,"11,82"
P726,86072,candidate'@en,"0,09",,,,,,,,,,90394,"95,22"
P2321,82753,general classification of race participants'@en,"0,09",,,,,,,,,,82977,
P625,81805,coordinate location'@en,"0,09",,,,,,,,,,9267000,
P1128,81459,employees'@en,"0,09",,,,,,,,,,99061,
P3602,79737,candidacy in election'@en,"0,09",,,,,,,,,,159703,
P1598,77113,consecrator'@en,"0,08",,,,,,,,,,85111,
P1889,76215,different from'@en,"0,08",,,,,,,,,,811803,
P6499,74597,literate population'@en,"0,08",,,,,,,,,,92809,
P6498,74185,illiterate population'@en,"0,08",,,,,,,,,,92806,
P7256,71556,computer performance'@en,"0,08",,,,,,,,,,73493,
P856,68152,official website'@en,"0,07",,,,,,,,,,1609856,
P1352,65786,ranking'@en,"0,07",,,,,,,,,,66720,
