Multiple value no Qualified Claims (filtered-claims-without-quals-counted-label) - Contagem de predicaos para o conjunto filtrado de múltiplos valores SEM qualificação,,,,,,,,,,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq,,,,,,,,,
P31,4726255,instance of'@en,"11,41",,"11,41",,,,,,,,59717980,"7,91"
P528,4114061,catalog code'@en,"9,94",,"21,35",,,,,,,,28738709,"14,32"
P106,3874078,occupation'@en,"9,36",,"30,71",,,,,,,,9608349,"40,32"
P361,1907576,part of'@en,"4,61",,"35,32",,,,,,,,4397806,"43,38"
P971,1600247,category combines topics'@en,"3,86",,"39,18",,,,,,,,2319814,"68,98"
P527,1274798,has part or parts'@en,"3,08",,"42,26",,,,,,,,1947505,"65,46"
P279,1205993,subclass of'@en,"2,91",,"45,17",,,,,,,,3296313,"36,59"
P161,1196981,cast member'@en,"2,89",,"48,06",,,,,,,,1429924,"83,71"
P40,1041760,child'@en,"2,52",,"50,58",,,,,,,,1563655,"66,62"
P150,1023658,contains administrative territorial entity'@en,"2,47",TOP-10,"53,05",,,,,,,,1046411,"97,83"
P131,778444,located in the administrative territorial entity'@en,"1,88",,"54,93",,,,,,,,11371144,"6,85"
P186,665979,made from material'@en,"1,61",,"56,54",,,,,,,,1333739,"49,93"
P166,665783,award received'@en,"1,61",,"58,15",,,,,,,,1365099,"48,77"
P69,576548,educated at'@en,"1,39",,"59,54",,,,,,,,2285190,"25,23"
P47,521431,shares border with'@en,"1,26",,"60,8",,,,,,,,606626,"85,96"
P1843,492998,taxon common name'@en,"1,19",,"61,99",,,,,,,,585441,"84,21"
P27,484268,country of citizenship'@en,"1,17",,"63,16",,,,,,,,4494645,
P1436,472280,collection or exhibition size'@en,"1,14",,"64,3",,,,,,,,481891,
P195,435623,collection'@en,"1,05",,"65,35",,,,,,,,1973867,
P136,417214,genre'@en,"1,01",,"66,36",,,,,,,,1508670,
P921,398185,main subject'@en,"0,96",,"67,32",,,,,,,,1158408,
P180,390678,depicts'@en,"0,94",,"68,26",,,,,,,,619426,
P703,389259,found in taxon'@en,"0,94",,"69,2",,,,,,,,2847102,
P1412,381158,"languages spoken, written or signed'@en","0,92",,"70,12",,,,,,,,2401376,
P17,368262,country'@en,"0,89",,"71,01",,,,,,,,14996553,
P281,360402,postal code'@en,"0,87",,"71,88",,,,,,,,1908017,
P128,316567,regulates (molecular biology)'@en,"0,76",,"72,64",,,,,,,,326035,
P4575,304364,HTML entity'@en,"0,74",,"73,38",,,,,,,,304369,
P1476,291077,title'@en,"0,7",,"74,08",,,,,,,,4026695,
P3373,282138,sibling'@en,"0,68",,"74,76",,,,,,,,411175,
P569,271475,date of birth'@en,"0,66",,"75,42",,,,,,,,5793113,
P108,269234,employer'@en,"0,65",,"76,07",,,,,,,,1635050,
P625,268714,coordinate location'@en,"0,65",,"76,72",,,,,,,,9267000,
P54,266365,member of sports team'@en,"0,64",,"77,36",,,,,,,,1549413,
P18,263041,image'@en,"0,64",,78,,,,,,,,4423081,
P185,251129,doctoral student'@en,"0,61",,"78,61",,,,,,,,298171,
P6379,225628,has works in the collection'@en,"0,54",,"79,15",,,,,,,,320821,
P1344,225094,participant in'@en,"0,54",,"79,69",,,,,,,,694612,
P570,205148,date of death'@en,"0,5",,"80,19",,,,,,,,2926895,
P735,198642,given name'@en,"0,48",,"80,67",,,,,,,,6824771,
P39,188164,position held'@en,"0,45",,"81,12",,,,,,,,1485766,
P6153,184612,research site'@en,"0,45",,"81,57",,,,,,,,266858,
P460,174091,said to be the same as'@en,"0,42",,"81,99",,,,,,,,287695,
P1090,165236,redshift'@en,"0,4",,"82,39",,,,,,,,989410,
P1889,160419,different from'@en,"0,39",,"82,78",,,,,,,,811803,
P463,153526,member of'@en,"0,37",,"83,15",,,,,,,,444593,
P407,131978,language of work or name'@en,"0,32",,"83,47",,,,,,,,2742164,
P2789,118879,connects with'@en,"0,29",,"83,76",,,,,,,,185359,
P2216,112358,radial velocity'@en,"0,27",,"84,03",,,,,,,,3784378,
P490,109267,provisional designation'@en,"0,26",,"84,29",,,,,,,,120543,
P1478,104409,has immediate cause'@en,"0,25",,"84,54",,,,,,,,125079,
P1050,104207,medical condition'@en,"0,25",,"84,79",,,,,,,,242080,
P1343,102583,described by source'@en,"0,25",,"85,04",,,,,,,,857017,
P1448,99635,official name'@en,"0,24",,"85,28",,,,,,,,1590456,
P101,97577,field of work'@en,"0,24",,"85,52",,,,,,,,256974,
P973,94026,described at URL'@en,"0,23",,"85,75",,,,,,,,728460,
P184,89957,doctoral advisor'@en,"0,22",,"85,97",,,,,,,,303776,
P674,89042,characters'@en,"0,22",,"86,19",,,,,,,,125900,
P710,88790,participant'@en,"0,21",,"86,4",,,,,,,,432740,
P4844,88406,research intervention'@en,"0,21",,"86,61",,,,,,,,146974,
P856,86754,official website'@en,"0,21",,"86,82",,,,,,,,1609856,
P937,83033,work location'@en,"0,2",,"87,02",,,,,,,,341839,
P355,80762,subsidiary'@en,"0,2",,"87,22",,,,,,,,93775,
P50,80041,author'@en,"0,19",,"87,41",,,,,,,,1635488,
P607,78654,conflict'@en,"0,19",,"87,6",,,,,,,,224219,
P2860,75931,cites work'@en,"0,18",,"87,78",,,,,,,,116175,
P276,75851,location'@en,"0,18",,"87,96",,,,,,,,2613926,
