Preferred Claims (preferredRank-claims-pred-count-label) - Contagem de predicados associados a CLAIMS com rank=preferred,,,,,
Predicate,Count,Label,Frequency,,Accumulated Freq
P1215,3914843,apparent magnitude'@en,"71,43",,"71,43"
P1082,225689,population'@en,"4,12",,"75,55"
P131,185778,located in the administrative territorial entity'@en,"3,39",,"78,94"
P8687,174665,social media followers'@en,"3,19",,"82,13"
P17,88322,country'@en,"1,61",,"83,74"
P31,77369,instance of'@en,"1,41",,"85,15"
P569,76903,date of birth'@en,"1,4",,"86,55"
P150,61848,contains administrative territorial entity'@en,"1,13",,"87,68"
P764,59749,OKTMO ID'@en,"1,09",,"88,77"
P1540,50994,male population'@en,"0,93",TOP-10,"89,7"
P1539,50976,female population'@en,"0,93",TOP-K,"90,63"
P721,50531,OKATO ID'@en,"0,92",,"91,55"
P570,46916,date of death'@en,"0,86",,"92,41"
P1538,45281,number of households'@en,"0,83",,"93,24"
P6499,36597,literate population'@en,"0,67",,"93,91"
P6498,35386,illiterate population'@en,"0,65",,"94,56"
P18,23555,image'@en,"0,43",,"94,99"
P2046,14366,area'@en,"0,26",,"95,25"
P735,12692,given name'@en,"0,23",,"95,48"
P856,11832,official website'@en,"0,22",,"95,7"
P1114,9856,quantity'@en,"0,18",,"95,88"
P4080,9554,number of houses'@en,"0,17",,"96,05"
P348,8513,software version identifier'@en,"0,16",,"96,21"
P1448,8095,official name'@en,"0,15",,"96,36"
P625,7042,coordinate location'@en,"0,13",,"96,49"
P1153,6766,Scopus author ID'@en,"0,12",,"96,61"
P36,6714,capital'@en,"0,12",,"96,73"
P1376,6647,capital of'@en,"0,12",,"96,85"
P2124,5223,member count'@en,"0,1",,"96,95"
P27,5123,country of citizenship'@en,"0,09",,"97,04"
P6,4964,head of government'@en,"0,09",,"97,13"
P175,4871,performer'@en,"0,09",,"97,22"
P1476,4868,title'@en,"0,09",,"97,31"
P571,4547,inception'@en,"0,08",,"97,39"
P20,4347,place of death'@en,"0,08",,"97,47"
P106,4312,occupation'@en,"0,08",,"97,55"
P19,3940,place of birth'@en,"0,07",,"97,62"
P102,3605,member of political party'@en,"0,07",,"97,69"
P921,3388,main subject'@en,"0,06",,"97,75"
P1661,2911,Alexa rank'@en,"0,05",,"97,8"
P39,2844,position held'@en,"0,05",,"97,85"
P2403,2728,total assets'@en,"0,05",,"97,9"
P154,2708,logo image'@en,"0,05",,"97,95"
P3872,2627,patronage'@en,"0,05",,98
P54,2327,member of sports team'@en,"0,04",,"98,04"
P1705,2314,native label'@en,"0,04",,"98,08"
P1831,2174,electorate'@en,"0,04",,"98,12"
P734,2051,family name'@en,"0,04",,"98,16"
P1308,1902,officeholder'@en,"0,03",,"98,19"
P577,1858,publication date'@en,"0,03",,"98,22"
P8843,1736,poverty incidence'@en,"0,03",,"98,25"
P197,1700,adjacent station'@en,"0,03",,"98,28"
P2402,1609,total expenditure'@en,"0,03",,"98,31"
P2138,1606,total liabilities'@en,"0,03",,"98,34"
P2139,1598,total revenue'@en,"0,03",,"98,37"
P3087,1586,fiscal/tax revenue'@en,"0,03",,"98,4"
P1128,1502,employees'@en,"0,03",,
P171,1429,parent taxon'@en,"0,03",,
P1447,1392,Sports-Reference.com Olympic athlete ID (archived)'@en,"0,03",,
P488,1313,chairperson'@en,"0,02",,
P159,1271,headquarters location'@en,"0,02",,
P227,1252,GND ID'@en,"0,02",,
P214,1237,VIAF ID'@en,"0,02",,
P1324,1220,source code repository'@en,"0,02",,
P127,1179,owned by'@en,"0,02",,
P286,1164,head coach'@en,"0,02",,
P527,1086,has part or parts'@en,"0,02",,
P26,1076,spouse'@en,"0,02",,
P138,1036,named after'@en,"0,02",,
P749,1019,parent organization'@en,"0,02",,
P2295,973,net profit'@en,"0,02",,
P306,950,operating system'@en,"0,02",,
P1435,922,heritage designation'@en,"0,02",,
P374,907,INSEE municipality code'@en,"0,02",,
P276,903,location'@en,"0,02",,
P2002,902,Twitter username'@en,"0,02",,
P1433,887,published in'@en,"0,02",,
P137,887,operator'@en,"0,02",,
P6375,880,street address'@en,"0,02",,
P166,832,award received'@en,"0,02",,
P242,813,locator map image'@en,"0,01",,
P3362,806,operating income'@en,"0,01",,
P1813,765,short name'@en,"0,01",,
P118,764,league'@en,"0,01",,
P1685,733,Pokédex / Pokémon browser number'@en,"0,01",,
P217,727,inventory number'@en,"0,01",,
P1630,713,formatter URL'@en,"0,01",,
P108,702,employer'@en,"0,01",,
P1037,691,director / manager'@en,"0,01",,
P2137,674,total equity'@en,"0,01",,
P195,660,collection'@en,"0,01",,
P1352,652,ranking'@en,"0,01",,
P2043,597,length'@en,"0,01",,
P1412,589,"languages spoken, written or signed'@en","0,01",,
P121,548,item operated'@en,"0,01",,
P407,546,language of work or name'@en,"0,01",,
