,,,
Referrer,Count,Label,Types
P248,87044656,stated in'@en,Wikidata property to indicate a source'@en
P813,85808270,retrieved'@en,"Wikidata property to indicate a source'@en,'Wikidata property with datatype \'time\''@en"
P854,66044529,reference URL'@en,Wikidata property to indicate a source'@en
P698,30007333,PubMed ID'@en,"Wikidata property for authority control for works'@en,'Wikidata property related to medicine'@en,'Wikidata property for items about scholarly articles'@en"
P887,7312604,based on heuristic'@en,"Wikidata property to indicate a source'@en,'non-restrictive qualifier'@en"
P4656,5658353,Wikimedia import URL'@en,"Wikidata property to indicate a source'@en,'Wikidata property to link to Commons'@en,'Wikidata property about Wikimedia entities'@en"
P143,5183797,imported from Wikimedia project'@en,Wikidata property to indicate a source'@en
P932,5123097,PMCID'@en,"Wikidata property for authority control for works'@en,'Wikidata property for items about scholarly articles'@en"
P214,3846213,VIAF ID'@en,"Wikidata property for authority control for people'@en,'Wikidata property for authority control for places'@en,'Wikidata property for authority control for works'@en,'Wikidata property to identify organizations'@en,'Wikidata property for authority control, with reciprocal use of Wikidata'@en,'Wikidata property for authority control by VIAF member'@en,'Wikidata property for an identifier that does not imply notability'@en,'Wikidata property widely reused by third-party entities'@en,'Wikidata property for an identifier that generally has just one value, but rarely can have two or more values for the same entity'@en"
P577,3008541,publication date'@en,"Wikidata property to indicate a source'@en,'Wikidata property for items about works'@en,'Wikidata property with datatype \'time\''@en"
P1810,2525708,subject named as'@en,"Wikidata qualifier'@en,'Wikidata property to indicate a name'@en,'Wikidata property with datatype string that is not an external identifier'@en,'property constraint'@en"
P351,2321925,Entrez Gene ID'@en,"Wikidata property related to biology'@en,'Wikidata property to identify genes'@en"
P1476,2036163,title'@en,"Wikidata qualifier'@en,'Wikidata property to indicate a source'@en,'Wikidata property for items about works'@en,'Wikidata property to indicate a name'@en"
P352,1904386,UniProt protein ID'@en,Wikidata property to identify proteins'@en
P407,1841042,language of work or name'@en,"Wikidata property to indicate a source'@en,'Wikidata property to indicate a language'@en,'Wikidata property for items about works'@en,'Wikidata property used as \""depicts\"" (P180) qualifier on Commons'@en"
P1640,1541300,curator'@en,Wikidata property for items about organizations'@en
