Referrer	Count per References
P887	7377854
P143	5268407
P932	5123394
P214	3870576
P577	3038928
P1810	2772735
P351	2712884
P1476	2099135
P352	2037443
P407	1874914
P356	1562326
P1640	1552279
P459	1537789
P2326	1428139
P7793	1221362
P3289	1000819
P691	988335
P227	890387
P3452	854051
P4638	843103
P5017	721698
P590	556825
P627	555233
P496	516837
P705	510802
P1216	400277
P1440	379305
P268	368030
P594	348177
P2646	316499
P123	236293
P3181	231865
P662	206694
P1047	197155
P304	196694
P4663	194933
P345	190059
P236	172987
P9300	146536
P434	140696
P235	139106
P9109	138587
P1932	129756
P9940	125426
P661	123616
P1683	117365
P2427	115350
P2446	112632
P5997	111316
P4075	110966
P2701	110962
P3430	110013
P2880	107636
P683	99345
P4381	96450
P6844	93425
P3937	91346
P2163	88246
P10487	87719
P269	81891
P1065	80705
P686	80273
P1402	78924
P10553	74294
P6736	71080
P1769	70524
P244	66344
P1207	65528
P245	64899
P4327	64323
P958	63904
P650	63203
P6786	61018
P1953	60001
P2926	58253
P535	56697
P652	56372
P2566	55368
P3901	55163
P586	53733
P724	52739
P8433	50396
P592	50084
P7848	49904
P9037	49848
P5383	48781
P7293	48028
P1850	46588
P1566	46382
P638	44175
P3318	43079
P4525	40554
P217	40485
P2960	40283
P762	40087
P5750	39557
P3124	39480
P1871	38721
P1280	38089
P4861	34815
P646	33616
P213	33477
P648	33388
P3088	33383
P2843	33344
P3561	33091
P1433	32696
P5297	32260
P1447	32072
P2477	31990
P4293	31019
P6184	30547
P3749	30049
P1459	29688
P3406	28456
P9152	27282
P2253	27018
P7571	25964
P396	25962
P3865	25227
P1258	25171
P2605	25076
P699	24703
P5019	24621
P2639	24606
P4432	24150
P11351	24109
P9789	23705
P1819	23510
P3782	23053
P1315	22705
P1146	22415
P950	22197
P478	22156
P640	21982
P791	21955
P1284	21664
P9905	21299
P3029	21180
P6985	21095
P651	21026
P2014	20851
P6039	20780
P10554	20618
P2093	20269
P1733	20191
P1417	19611
P593	19562
P3517	19291
P649	19219
P7421	19000
P433	18632
P5270	18548
P6594	18467
P9889	17717
P6188	17467
P9322	17292
P4124	17190
P1233	17184
P8034	16911
P8301	16881
P6526	16874
P10112	15876
P1367	15662
P3660	15646
P7831	15616
P5573	15607
P8172	15458
P3051	15411
P6634	15292
P6698	15268
P10442	15099
P8300	14791
P402	14665
P9559	14558
P2435	14395
P8153	14278
P428	14075
P195	14034
P1614	13991
P3630	13906
P4256	13689
P50	13554
P8286	13415
P3217	13372
P1220	13367
P2015	13307
P2461	13214
P8290	13153
P4119	13111
P1545	13094
P6925	13089
P7526	13082
P4459	13034
P8974	13031
P243	13003
P528	12982
P3547	12958
P1045	12854
P1826	12689
P715	12649
P393	12569
P8953	12343
P3957	12275
P8094	11864
P6264	11600
P7411	11462
P8990	11448
P902	11353
P781	11318
P5935	11311
P4789	11277
P549	11135
P2601	10958
P1480	10930
P6782	10883
P486	10780
P1907	10542
P3427	10542
P8116	10414
P8406	10356
P5034	10321
P1296	10178
P2100	10034
P7624	9968
P1184	9960
P839	9822
P906	9781
P4118	9658
P4130	9510
P5731	9416
P2481	9397
P2174	9163
P3973	9105
P1415	9057
P6705	9024
P9049	9002
P10043	8990
