Referrer	Count Claims per Referrer
P3452	3229545
P691	3181255
P590	2020627
P594	1599069
P123	1271771
P662	1074306
P4638	1017148
P9300	963506
P3289	933233
P9109	870210
P3181	774309
P496	743486
P304	739971
P268	544386
P1769	503816
P1440	476590
P236	472491
P1216	446136
P3937	422397
P1065	420939
P434	391277
P6786	348581
P1047	336738
P2646	316499
P2253	296350
P2960	290089
P593	284136
P9789	260865
P345	257542
P2163	255485
P705	252263
P2427	249364
P10487	243246
P686	232601
P6844	229251
P98	221395
P1932	212753
P6736	211102
P3318	201752
P683	197556
P8433	196344
P4525	193907
P217	187013
P3430	183688
P1280	183341
P2249	183247
P4075	182750
P585	176591
P4663	174796
P1683	172105
P2880	169150
P4327	166727
P2701	161781
P1733	157240
P235	156818
P627	151647
P652	148754
P5997	145853
P724	135104
P9940	132852
P661	132510
P2926	131679
P792	127771
P958	113911
P1866	113848
P2446	113848
P1850	110099
P535	107183
P650	104844
P4381	104706
P791	102518
P269	99125
P1207	97086
P2477	95921
P6039	94145
P7411	89974
P244	88815
P50	87455
P10442	87129
P5270	86611
P6184	86148
P1953	85843
P478	84588
P6985	83604
P2566	81470
P245	81358
P5383	81282
P1402	78857
P243	76798
P10553	75189
P586	72423
P699	71618
P3517	69102
P8300	69046
P402	68760
P7293	67193
P1871	66907
P3865	66442
P3029	63708
P1184	61876
P1433	61728
P4789	60948
P1566	60178
P592	58409
P646	58329
P4119	57600
P8990	56589
P638	56331
P819	54924
P4861	54742
P3124	54350
P2461	54168
P9037	51654
P648	51302
P7848	50711
P1258	48269
P2410	48089
P213	47828
P7571	47561
P4293	47560
P3088	47143
P1447	46595
P2843	46280
P6104	46211
P9559	45972
P10554	44751
P651	41815
P2093	41562
P3217	41228
P7227	40793
P762	40601
P5019	39823
P5750	39539
P396	39318
P433	38798
P3782	38606
P3561	37490
P7624	36600
P7421	35700
P2639	35620
P3749	34793
P1819	34501
P6526	33770
P1315	33399
P1417	32815
P1614	32558
P902	32382
P1284	32195
P1459	31964
P10426	31401
P8286	31366
P5297	31361
P9622	31270
P3057	30297
P9715	30148
P8953	29797
P950	29621
P4819	29607
P4120	29137
P2605	28710
P11219	28506
P649	28480
P195	28257
P7526	28174
P4432	27342
P6594	27160
P3901	26958
P6634	26788
P8290	26748
P3406	26741
P9152	26577
P3605	26450
P687	26429
P6179	26147
P1233	25840
P3547	25673
P9905	25565
P1157	25246
P3160	25157
P8034	25124
P393	24983
P8172	24910
P3051	24760
P2871	24586
P10589	24343
P11351	24144
P7796	24054
P4459	23620
P6597	23420
P2367	23345
P1367	22765
P1146	22748
P1986	22245
P2014	21769
P1045	21755
P2174	21536
P7998	21423
P6127	20978
P1368	20636
P2601	20286
P8116	20062
P428	19922
P1220	19335
P9472	19304
P781	19115
P3630	19060
P1907	18829
P1827	18734
P8094	18653
P464	18307
P6264	18178
P856	17975
P4256	17959
P518	17945
P4124	17753
P9889	17717
P7831	17658
P1415	17454
P6188	17444
P2100	17428
P9322	17307
P3400	17226
P2481	17206
P1296	17119
P6925	17055
P839	16913
P3016	16837
P6194	16786
P2861	16702
P8732	16474
P8731	16319
P486	16305
P10112	15842
P5935	15773
P4130	15746
P5573	15722
P640	15689
P715	15558
P2750	15522
P8974	15434
P1480	15401
P528	15340
P5739	15303
P8301	15287
P6698	15198
P3973	15052
P10441	15036
P2870	14999
P9520	14996
P7902	14885
P2435	14878
P9543	14736
P3660	14606
P5567	14503
P7929	14271
P2015	14203
P8153	14179
P595	14139
P5327	13865
P3696	13862
P3898	13356
P3184	13312
P275	13123
P2383	12790
P1826	12766
P2091	12698
P906	12581
P2180	12563
P6782	12548
P1007	12486
P3957	12346
P7982	12288
P9394	12267
P3940	12080
P549	11964
P5034	11927
P4607	11889
P8189	11717
P3477	11703
P1341	11702
P2657	11528
P1144	11393
P9324	11239
P2862	11234
P5199	11180
P2268	11112
P5653	10780
P723	10715
P3903	10677
P4762	10625
P3427	10524
P3935	10028
P9232	9909
P6705	9890
P6815	9824
P2115	9727
P2671	9708
P4536	9684
P4464	9680
P8548	9668
P4118	9657
P4963	9615
P1711	9610
P1545	9464
P8800	9444
P716	9403
P8455	9377
P2699	9369
P3655	9369
P1214	9349
P2767	9192
P6722	9147
P5731	9104
P1254	9076
P10043	8980
P1988	8968
P6578	8927
P5375	8878
P4835	8868
P9695	8865
P8349	8793
P2694	8592
P1005	8561
P972	8546
P3047	8539
P5247	8526
P4632	8492
P3565	8434
P3541	8428
P8341	8424
P2889	8383
P953	8213
P9049	8211
P1808	8086
P1580	8083
P1248	8049
P1138	8018
P3368	7991
P4927	7915
P4087	7774
P2372	7751
P6262	7701
P8130	7596
P10563	7559
P6616	7514
P4342	7494
P497	7462
P5504	7429
P9163	7424
P7224	7423
P6821	7263
P536	7258
P4535	7224
P10522	7187
P2949	7148
P4133	7128
P3522	7088
P5011	7064
P5055	7008
P7637	6982
P2428	6976
P1967	6934
P633	6859
P9223	6846
P4766	6764
P9159	6721
P7260	6678
P8795	6649
P1816	6558
P1610	6557
P1599	6530
P2401	6485
P10856	6480
P7842	6457
P8129	6421
P3542	6409
P5491	6328
P6829	6316
P6213	6311
P3725	6307
P3637	6261
P1015	6194
P821	6167
P3711	6164
P9058	6123
P2342	6082
P6240	6082
P8707	6079
P291	6067
P6863	6059
P10253	6056
P4081	6042
P3571	5962
P8851	5863
P212	5854
P1324	5839
P1680	5768
P2062	5734
P2753	5722
P1059	5713
P4790	5673
P6465	5636
P5035	5611
P3841	5459
P6572	5454
P9441	5444
P11348	5392
P3636	5354
P2818	5343
P1541	5317
P1749	5169
P8302	5148
P1992	5094
P9391	5083
P6333	5081
P2016	5045
P6582	5038
P3316	5021
P3345	5004
P9492	4990
P4200	4974
P7837	4965
P8613	4943
P2447	4916
